Name,Age,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Matt Adams*,27,297,37,74,18,0,16,54,0,25,81,.249,.309,3
Nick Ahmed,26,284,26,62,9,1,4,20,5,15,58,.218,.265,6
Chase Anderson,28,45,3,4,0,0,0,1,0,1,27,.089,.128,1
Nolan Arenado,25,618,116,182,35,6,41,133,2,68,103,.294,.362,5
Jake Arrieta,30,65,7,17,2,1,2,7,0,4,28,.262,.304,1
Erick Aybar#,32,335,27,81,14,2,2,26,3,20,59,.242,.293,6
Javier Baez,23,421,50,115,19,1,14,59,12,15,108,.273,.314,7
Tucker Barnhart#,25,377,34,97,23,1,7,51,1,36,72,.257,.323,2
Brandon Belt*,28,542,77,149,41,8,17,82,0,104,148,.275,.394,7
Chad Bettis,27,49,2,2,0,0,0,2,0,4,21,.041,.113,1
Charlie Blackmon*,29,578,111,187,35,5,29,82,17,43,102,.324,.381,7
Justin Bour*,28,280,35,74,12,1,15,51,0,38,56,.264,.349,3
Peter Bourjos,29,355,40,89,20,7,5,23,6,17,91,.251,.292,7
Michael Bourn*,33,329,43,86,12,6,3,30,13,22,83,.261,.307,7
Archie Bradley,23,43,2,3,0,0,0,4,0,0,28,.070,.068,1
Ryan Braun,32,511,80,156,23,3,30,91,16,46,98,.305,.365,7
Jay Bruce*,29,539,74,135,27,6,33,99,4,44,126,.250,.309,7
Jay Bruce*,29,370,60,98,22,6,25,80,4,27,83,.265,.316,7
Kris Bryant,24,603,121,176,35,3,39,102,8,75,154,.292,.385,7
Madison Bumgarner,26,86,8,16,6,0,3,9,0,10,43,.186,.268,1
Asdrubal Cabrera#,30,521,65,146,30,1,23,62,5,38,103,.280,.336,6
Matt Carpenter*,30,473,81,128,36,6,21,68,0,81,108,.271,.380,5
Chris Carter,29,549,84,122,27,1,41,94,3,76,206,.222,.321,3
Welington Castillo,29,416,41,110,24,0,14,68,2,33,121,.264,.322,2
Francisco Cervelli,30,326,42,86,14,1,1,33,6,56,72,.264,.377,3
Yoenis Cespedes,30,479,72,134,25,1,31,86,3,51,108,.280,.354,7
Tyler Chatwood,26,53,3,10,0,1,0,4,0,2,14,.189,.218,1
Wei-Yin Chen*,30,44,0,0,0,0,0,0,0,0,18,.000,.000,1
Gerrit Cole,25,40,3,8,1,0,1,3,0,0,19,.200,.220,1
Bartolo Colon,43,60,4,5,2,0,1,2,0,1,40,.083,.098,1
Michael Conforto*,23,304,38,67,21,1,12,42,2,36,89,.220,.310,7
Adam Conley*,26,41,4,5,0,0,0,3,0,1,22,.122,.140,1
Willson Contreras,24,252,33,71,14,1,12,35,2,26,67,.282,.357,7
Patrick Corbin*,26,49,7,15,3,1,0,4,0,1,14,.306,.320,1
Zack Cozart,30,464,67,117,28,2,16,50,4,37,84,.252,.308,6
Brandon Crawford*,29,553,67,152,28,11,12,84,7,57,115,.275,.342,6
Johnny Cueto,30,70,1,8,0,0,0,5,0,2,24,.114,.137,1
Travis d'Arnaud,27,251,27,62,7,0,4,15,0,19,50,.247,.307,2
Zach Davies,23,53,2,5,0,0,0,1,0,1,22,.094,.111,1
Jorge De La Rosa*,35,38,4,7,0,0,0,6,0,2,14,.184,.244,1
Jacob deGrom*,28,42,6,6,1,0,0,2,0,3,12,.143,.200,1
Anthony DeSclafani,26,41,0,5,1,0,0,1,0,1,22,.122,.143,1
Aledmys Diaz,25,404,71,121,28,3,17,65,4,41,60,.300,.369,6
Alex Dickerson*,26,253,39,65,16,2,10,37,5,26,44,.257,.333,7
Derek Dietrich*,26,351,39,98,20,5,7,42,1,32,84,.279,.374,7
Brandon Drury,23,461,59,130,31,1,16,53,1,31,100,.282,.329,7
Matt Duffy,25,257,32,65,11,2,4,21,8,20,40,.253,.313,5
Adam Duvall,27,552,85,133,31,6,33,103,6,41,164,.241,.297,7
Jerad Eickhoff,25,61,4,8,3,0,0,5,0,1,12,.131,.145,1
Danny Espinosa#,29,516,66,108,15,0,24,72,9,54,174,.209,.306,6
Jose Fernandez,23,52,3,13,2,0,0,6,0,1,13,.250,.264,1
Brandon Finnegan*,23,53,4,6,2,0,0,2,0,3,18,.113,.161,1
Wilmer Flores,24,307,38,82,14,0,16,49,1,23,48,.267,.319,6
Tyler Flowers,30,281,27,76,18,0,8,41,0,29,91,.270,.357,2
Mike Foltynewicz,24,36,3,5,1,0,0,1,0,1,19,.139,.162,1
Dexter Fowler#,30,456,84,126,25,7,13,48,13,79,124,.276,.393,7
Maikel Franco,23,581,67,148,23,1,25,88,1,40,106,.255,.306,5
Jeff Francoeur,32,307,33,78,15,1,7,34,2,20,90,.254,.297,7
Jeff Francoeur,32,257,29,64,13,0,7,33,2,16,75,.249,.290,7
Freddie Freeman*,26,589,102,178,43,6,34,91,6,89,171,.302,.400,3
David Freese,33,437,63,118,23,0,13,55,0,45,142,.270,.352,5
Christian Friedrich,28,37,2,2,0,0,0,2,0,3,23,.054,.125,1
Freddy Galvis#,26,584,61,141,26,3,20,67,17,25,136,.241,.274,6
Adonis Garcia,31,532,65,145,29,0,14,65,3,24,93,.273,.311,7
Jaime Garcia*,29,41,3,7,0,0,0,4,0,2,17,.171,.205,1
Scooter Gennett*,26,498,58,131,30,1,14,56,8,38,114,.263,.317,4
