Name,Age,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Paul Goldschmidt,28,579,106,172,33,3,24,95,32,110,150,.297,.411,3
Adrian Gonzalez*,34,568,69,162,31,0,18,90,0,55,117,.285,.349,3
Carlos Gonzalez*,30,584,87,174,42,2,25,100,2,46,129,.298,.350,7
Gio Gonzalez,30,52,1,7,2,0,0,2,0,0,24,.135,.148,1
Dee Gordon*,28,325,47,87,7,6,1,14,30,18,55,.268,.305,4
Yasmani Grandal#,27,390,49,89,14,1,27,72,1,64,116,.228,.339,3
Curtis Granderson*,35,545,88,129,24,5,30,59,4,74,130,.237,.335,7
Jon Gray,24,47,2,7,2,0,0,4,0,2,30,.149,.184,1
Zack Greinke,32,52,4,11,1,0,0,3,1,3,9,.212,.246,1
Randal Grichuk,24,446,66,107,29,3,24,68,5,28,141,.240,.289,7
Jedd Gyorko,27,400,58,97,9,1,30,59,0,37,96,.243,.306,6
Billy Hamilton#,25,411,69,107,19,3,3,17,58,36,93,.260,.321,7
Jason Hammel,33,65,6,16,3,0,0,7,0,1,24,.246,.258,1
Bryce Harper*,23,506,84,123,24,2,24,86,21,108,117,.243,.373,7
Josh Harrison,28,487,57,138,25,7,4,59,19,18,76,.283,.311,7
Adeiny Hechavarria,27,508,52,120,17,6,3,38,1,33,73,.236,.283,6
Jeremy Hellickson,29,54,3,9,1,0,0,4,0,4,24,.167,.224,1
Kyle Hendricks,26,58,1,8,0,0,0,2,0,1,29,.138,.167,1
Cesar Hernandez#,26,547,67,161,14,11,6,39,17,66,116,.294,.371,6
Odubel Herrera*,24,583,87,167,21,6,15,49,25,63,134,.286,.361,7
Jason Heyward*,26,530,61,122,27,1,7,49,11,54,93,.230,.306,7
Aaron Hill,34,254,34,72,11,0,8,29,4,30,43,.283,.359,5
Matt Holliday,36,382,48,94,20,1,20,62,0,35,71,.246,.322,7
Ryan Howard*,36,331,35,65,10,0,25,59,0,27,114,.196,.257,3
Nick Hundley,32,289,30,75,20,1,10,48,0,25,65,.260,.320,2
Ender Inciarte*,25,522,85,152,24,7,3,29,16,45,68,.291,.351,7
Travis Jankowski*,25,335,53,82,13,2,2,12,30,42,100,.245,.332,7
John Jaso*,32,380,45,102,25,3,8,42,0,45,74,.268,.353,7
Jon Jay*,31,347,49,101,26,1,2,26,2,19,78,.291,.339,7
Kelly Johnson*,34,304,25,75,14,0,10,34,4,25,65,.247,.306,7
Tommy Joseph,24,315,47,81,15,0,21,47,1,22,75,.257,.308,3
Jung Ho Kang,29,318,45,81,19,0,21,62,3,36,79,.255,.354,5
Scott Kazmir*,32,43,3,5,0,0,0,2,0,1,24,.116,.136,1
Matt Kemp,31,623,89,167,39,0,35,108,1,36,156,.268,.304,7
Matt Kemp,31,409,54,107,24,0,23,69,0,16,100,.262,.285,7
Howie Kendrick,32,487,65,124,26,2,8,40,10,50,96,.255,.326,7
Clayton Kershaw*,28,46,2,8,1,0,0,3,0,1,12,.174,.191,1
Tom Koehler,30,51,1,5,0,0,0,4,0,1,28,.098,.115,1
John Lackey,37,63,1,6,2,0,0,2,0,2,31,.095,.123,1
Jake Lamb*,25,523,81,130,31,9,29,91,6,64,154,.249,.332,5
Mike Leake,28,49,3,7,1,0,0,4,0,3,19,.143,.192,1
DJ LeMahieu,27,552,104,192,32,8,11,66,11,66,80,.348,.416,4
Jon Lester*,32,59,3,6,3,0,0,6,0,6,18,.102,.185,1
Francisco Liriano*,32,42,2,12,1,0,1,5,0,0,16,.286,.286,1
James Loney*,32,343,30,91,16,1,9,34,0,16,37,.265,.307,3
Jonathan Lucroy,30,338,48,101,17,3,13,50,5,33,70,.299,.359,3
Kenta Maeda,28,57,5,7,1,0,1,4,0,1,16,.123,.138,1
Nick Markakis*,32,599,67,161,38,0,13,89,0,71,101,.269,.346,7
Starling Marte,27,489,71,152,34,5,9,46,47,23,104,.311,.362,7
Carlos Martinez,24,59,5,14,1,0,0,6,0,0,13,.237,.246,1
Steven Matz,25,36,0,5,1,1,0,2,0,4,11,.139,.220,1
Andrew McCutchen,29,598,81,153,26,3,24,79,6,69,143,.256,.336,7
Jordy Mercer,29,519,66,133,22,3,11,59,1,51,83,.256,.328,6
Yadier Molina,33,534,56,164,38,1,8,58,3,39,63,.307,.360,3
Brandon Moss*,32,413,66,93,19,2,28,67,1,39,141,.225,.300,7
Daniel Murphy*,31,531,88,184,47,5,25,104,5,35,57,.347,.390,5
Wil Myers,25,599,99,155,29,4,28,94,28,68,160,.259,.336,7
Jimmy Nelson,27,50,1,4,0,0,0,3,0,2,32,.080,.115,1
Kirk Nieuwenhuis*,28,335,38,70,18,1,13,44,8,56,133,.209,.324,7
Derek Norris,27,415,50,77,17,0,14,42,9,36,139,.186,.255,3
Chris Owings,24,437,52,121,24,11,5,49,21,20,87,.277,.315,7
Marcell Ozuna,25,557,75,148,23,6,23,76,0,43,115,.266,.321,7
Angel Pagan#,34,495,71,137,24,5,12,55,15,42,66,.277,.331,7
Joe Panik*,25,464,67,111,21,7,10,62,5,50,47,.239,.315,4
Gerardo Parra*,29,368,45,93,27,3,7,39,6,9,73,.253,.271,7
Joc Pederson*,24,406,64,100,26,0,25,68,6,63,130,.246,.352,7
Hunter Pence,33,395,58,114,23,1,13,57,1,43,95,.289,.357,7
Jhonny Peralta,34,289,37,75,17,1,8,29,0,20,56,.260,.307,6
Wily Peralta,27,39,2,5,1,0,1,6,0,0,15,.128,.125,1
Luis Perdomo,23,38,1,5,1,0,0,1,0,1,15,.132,.175,1
Hernan Perez,25,404,50,110,18,3,13,56,34,18,94,.272,.302,7
Jace Peterson*,26,350,45,89,16,1,7,29,5,52,69,.254,.350,7
Brandon Phillips,35,550,74,160,34,1,11,64,14,18,68,.291,.320,4
Stephen Piscotty,25,582,86,159,35,3,22,85,7,51,133,.273,.343,7
Gregory Polanco*,24,527,79,136,34,4,22,86,17,53,119,.258,.323,7
Buster Posey,29,539,82,155,33,2,14,80,6,64,68,.288,.362,3
Martin Prado,32,600,70,183,37,3,8,75,2,49,69,.305,.359,5
Yasiel Puig,25,334,45,88,14,2,11,45,5,24,74,.263,.323,7
Alexei Ramirez,34,421,33,101,19,2,5,41,6,17,56,.240,.275,7
Wilson Ramos,28,482,58,148,25,0,22,80,0,35,79,.307,.354,2
Robbie Ray*,24,53,3,10,2,0,1,2,0,1,26,.189,.204,1
J.T. Realmuto,25,509,60,154,31,0,11,48,12,28,100,.303,.343,2
Anthony Rendon,26,567,91,153,38,2,20,85,12,65,117,.270,.348,5
Ben Revere*,28,350,44,76,9,7,2,24,14,18,34,.217,.260,7
Jose Reyes#,33,255,45,68,13,4,8,24,9,23,49,.267,.326,6
Mark Reynolds,32,393,61,111,24,0,14,53,1,42,112,.282,.356,4
Anthony Rizzo*,26,583,94,170,43,4,32,109,3,74,108,.292,.385,4
Tanner Roark,29,64,1,8,1,0,0,3,0,5,25,.125,.188,1
Sean Rodriguez,31,300,49,81,16,1,18,56,2,33,102,.270,.349,7
Joe Ross,23,41,2,10,2,0,0,1,0,3,15,.244,.295,1
Cameron Rupp,27,389,36,98,26,1,16,54,1,24,114,.252,.303,2
Addison Russell,22,525,67,125,25,3,21,95,5,55,135,.238,.321,6
Jeff Samardzija,31,64,4,10,5,0,0,9,0,1,28,.156,.164,1
Scott Schebler*,25,257,36,68,12,2,9,40,2,19,59,.265,.330,7
Max Scherzer,31,70,4,13,1,0,0,12,0,2,30,.186,.208,1
Ryan Schimpf*,28,276,48,60,17,5,20,51,1,42,105,.217,.336,7
Corey Seager*,22,627,105,193,40,5,26,72,3,54,133,.308,.365,6
Jean Segura,26,637,102,203,41,7,20,64,33,39,101,.319,.368,6
Yangervis Solarte#,28,405,55,116,26,1,15,71,1,30,63,.286,.341,5
Denard Span*,32,572,70,152,23,5,11,53,12,53,79,.266,.331,7
Giancarlo Stanton,26,413,56,99,20,1,27,74,0,50,140,.240,.326,7
Trevor Story,23,372,67,101,21,4,27,72,8,35,130,.272,.341,6
Dan Straily,27,52,2,1,0,0,0,1,0,2,40,.019,.056,1
Stephen Strasburg,27,48,3,10,1,0,0,2,0,2,11,.208,.240,1
Eugenio Suarez,24,565,78,140,25,2,21,70,11,51,155,.248,.317,6
Ichiro Suzuki*,42,327,48,95,15,5,1,22,10,30,42,.291,.354,7
Noah Syndergaard*,23,58,6,11,3,0,3,6,0,7,34,.190,.277,1
Julio Teheran,25,49,1,10,1,0,0,2,0,1,16,.204,.220,1
Yasmany Tomas,25,530,72,144,30,1,31,83,2,31,136,.272,.313,7
Justin Turner,31,556,79,153,34,3,27,90,4,48,107,.275,.339,5
Trea Turner,23,307,53,105,14,8,13,40,33,14,59,.342,.370,7
Melvin Upton,31,344,46,88,11,2,16,45,20,23,106,.256,.304,7
Chase Utley*,37,512,79,129,26,3,14,52,2,40,115,.252,.319,5
Vince Velasquez,24,40,4,8,1,0,0,0,0,1,16,.200,.220,1
Jonathan Villar#,25,589,92,168,38,3,19,63,62,79,174,.285,.369,6
Joey Votto*,32,556,101,181,34,2,29,97,8,108,120,.326,.434,3
Michael Wacha,24,39,1,1,0,0,0,0,0,3,22,.026,.095,1
Adam Wainwright,34,62,6,14,8,1,2,18,0,2,17,.226,.250,1
Neil Walker#,30,412,57,116,9,1,23,55,3,42,84,.282,.347,4
Jayson Werth,37,525,84,128,28,0,21,69,5,71,139,.244,.335,7
Matt Wisler,23,46,2,7,0,0,0,2,0,1,21,.152,.167,1
Kolten Wong*,25,313,39,75,7,7,5,23,7,34,52,.240,.327,7
Christian Yelich*,24,578,78,172,38,3,21,98,9,72,138,.298,.376,7
Ryan Zimmerman,31,427,60,93,18,1,15,46,4,29,104,.218,.272,3
Ben Zobrist#,35,523,94,142,31,3,18,76,6,96,82,.272,.386,7
LgAvg per 600 PA,,536,70,136,27,3,17,67,9,50,129,.253,.321,0
