Name,Age,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Marlon Byrd,37,12,40,12,2,4,31,0,6,44,.272,.301,7
Matt Cain,30,0,0,0,0,0,1,0,0,9,.000,.000,1
Alberto Callaspo#,32,20,54,7,0,1,15,0,28,34,.235,.315,5
Alberto Callaspo#,32,12,22,2,0,1,8,0,14,10,.206,.293,5
Alberto Callaspo#,32,8,32,5,0,0,7,0,14,24,.260,.336,5
Eric Campbell,28,28,34,8,0,3,19,5,26,37,.197,.312,7
Matt Carpenter*,29,101,156,44,3,28,84,4,81,151,.272,.365,5
Andrew Cashner,28,2,5,0,0,0,1,0,1,24,.083,.098,1
Welington Castillo,28,39,77,15,1,19,55,0,24,87,.243,.306,2
Welington Castillo,28,34,70,13,1,17,50,0,21,75,.255,.317,2
Starlin Castro,25,52,145,23,2,11,69,5,21,91,.265,.296,6
Francisco Cervelli,29,56,133,17,5,7,43,1,46,94,.295,.370,2
Yoenis Cespedes,29,39,66,14,4,17,44,4,14,54,.287,.337,7
Pedro Ciriaco,29,14,37,8,1,1,15,4,2,38,.261,.275,7
Chris Coghlan*,30,64,110,25,6,16,41,11,58,94,.250,.341,7
Gerrit Cole,24,5,9,0,0,0,2,0,2,28,.150,.177,1
Josh Collmenter,29,2,5,0,0,0,1,0,3,9,.185,.267,1
Bartolo Colon,42,2,8,1,0,0,4,0,0,24,.138,.150,1
Michael Conforto*,22,30,47,14,0,9,26,0,17,39,.270,.335,7
Adam Conley*,25,0,4,0,0,0,1,0,0,8,.222,.222,1
Patrick Corbin*,25,1,3,0,0,0,3,0,3,11,.120,.214,1
Jarred Cosart,25,0,1,0,0,0,1,0,0,8,.059,.059,1
Zack Cozart,29,28,50,10,1,9,28,3,14,29,.258,.310,6
Brandon Crawford*,28,65,130,33,4,21,84,6,39,119,.256,.321,6
Carl Crawford*,33,19,48,9,2,4,16,10,10,41,.265,.304,7
Tony Cruz,28,6,29,7,1,2,11,0,6,32,.204,.235,5
Michael Cuddyer,36,44,98,18,1,10,41,2,24,88,.259,.309,7
Johnny Cueto,29,1,6,0,0,0,0,0,1,10,.162,.184,1
Travis d'Arnaud,26,31,64,14,1,12,41,0,23,49,.268,.340,2
Khris Davis,27,54,97,16,2,27,66,6,44,122,.247,.323,7
Ivan De Jesus,28,15,49,10,2,4,28,0,19,55,.244,.311,7
Jorge De La Rosa*,34,0,3,0,0,0,3,0,0,18,.063,.063,1
Rubby De La Rosa,26,3,6,0,0,0,2,0,0,25,.094,.094,1
Jacob deGrom*,27,3,11,1,0,0,4,0,3,16,.186,.226,1
Chris Denorfia,34,18,57,11,1,3,18,0,15,56,.269,.319,7
Daniel Descalso*,28,22,38,3,2,5,22,1,20,45,.205,.283,7
Anthony DeSclafani,25,1,9,1,0,0,3,0,3,33,.155,.194,1
Ian Desmond,29,69,136,27,2,19,62,13,45,187,.233,.290,6
Odrisamer Despaigne,28,0,2,1,0,0,0,0,1,11,.067,.097,1
Corey Dickerson*,26,30,68,18,2,10,31,0,10,56,.304,.333,7
Derek Dietrich*,25,38,64,14,3,10,24,0,23,65,.256,.346,7
Lucas Duda*,29,67,115,33,0,27,73,0,66,138,.244,.352,3
Matt Duffy,24,77,169,28,6,12,77,12,30,96,.295,.334,6
A.J. Ellis,34,24,43,9,0,7,21,0,32,38,.238,.355,2
Yunel Escobar,32,75,168,25,1,9,56,2,45,70,.314,.375,5
Danny Espinosa#,28,59,88,21,1,13,37,5,33,106,.240,.311,7
Andre Ethier*,33,54,116,20,7,14,53,2,43,75,.294,.366,7
Jose Fernandez,22,2,3,1,0,1,2,0,0,4,.167,.167,1
Mike Fiers,30,0,3,0,0,0,0,0,0,12,.100,.100,1
Doug Fister*,31,2,7,1,0,0,0,0,2,15,.226,.273,1
Yohan Flande*,29,1,3,0,0,0,1,0,0,10,.143,.143,1
Wilmer Flores,23,55,127,22,0,16,59,0,19,63,.263,.295,6
Mike Foltynewicz,23,0,2,1,0,0,3,0,0,19,.071,.069,1
Dexter Fowler#,29,102,149,29,8,17,46,20,84,154,.250,.346,7
Maikel Franco,22,45,85,22,1,14,50,1,26,52,.280,.343,5
Jeff Francoeur,31,34,84,16,1,13,45,0,13,77,.258,.286,7
Todd Frazier,29,82,158,43,1,35,89,13,44,137,.255,.309,5
Freddie Freeman*,25,62,115,27,0,18,66,3,56,98,.276,.370,3
Carlos Frias,25,1,1,0,0,0,0,0,1,12,.048,.130,1
Freddy Galvis#,25,63,147,14,5,7,50,10,30,103,.263,.302,6
Adonis Garcia,30,20,53,12,0,10,26,0,5,35,.277,.293,7
Jaime Garcia*,28,1,4,0,0,0,1,0,2,15,.098,.140,1
Matt Garza,31,0,3,0,0,0,0,0,1,21,.077,.100,1
Scooter Gennett*,25,42,99,18,4,6,29,1,12,68,.264,.294,4
Cole Gillespie,31,17,42,10,2,2,16,4,10,27,.290,.333,7
Paul Goldschmidt,27,103,182,38,2,33,110,21,118,151,.321,.435,3
Jonny Gomes,34,27,43,7,0,7,22,1,28,67,.221,.325,7
Carlos Gomez,29,42,75,20,1,8,43,7,23,70,.262,.328,7
Hector Gomez,27,15,23,11,2,1,7,0,3,40,.181,.212,7
Adrian Gonzalez*,33,76,157,33,0,28,90,0,62,107,.275,.350,3
Carlos Gonzalez*,29,87,150,25,2,40,97,2,46,133,.271,.325,7
Gio Gonzalez,29,1,4,1,0,0,2,0,1,18,.093,.152,1
Dee Gordon*,27,88,205,24,8,4,46,58,25,91,.333,.359,4
Tuffy Gosewisch,31,9,27,6,0,1,13,2,8,23,.211,.261,2
Philip Gosselin,26,19,33,9,1,3,15,2,9,16,.311,.373,7
Yasmani Grandal#,26,43,83,12,0,16,47,0,65,92,.234,.353,3
Curtis Granderson*,34,98,150,33,2,26,70,11,91,151,.259,.364,7
Zack Greinke,31,8,15,2,0,2,3,1,1,14,.224,.232,1
Randal Grichuk,23,49,89,23,7,17,47,4,22,110,.276,.329,7
Alex Guerrero,28,25,51,9,1,11,36,1,7,57,.233,.261,7
Jedd Gyorko,26,34,104,15,0,16,57,0,27,107,.247,.297,6
David Hale,27,1,2,0,0,0,0,0,0,9,.087,.087,1
Cole Hamels*,31,2,6,1,0,0,0,0,0,15,.154,.154,1
Billy Hamilton#,24,56,93,8,3,4,28,57,28,75,.226,.274,7
Jason Hammel,32,6,11,1,0,0,4,0,1,18,.169,.179,1
Brad Hand*,25,1,2,0,0,0,2,0,0,5,.118,.118,1
J.A. Happ*,32,1,2,0,0,0,0,0,0,13,.091,.091,1
Aaron Harang,37,4,8,1,0,0,0,0,1,18,.167,.184,1
Dan Haren,34,4,6,1,0,0,5,0,5,16,.122,.200,1
Dan Haren,34,3,5,1,0,0,4,0,2,12,.156,.206,1
Dan Haren,34,1,1,0,0,0,1,0,3,4,.059,.190,1
Bryce Harper*,22,118,172,38,1,42,99,6,124,131,.330,.460,7
Josh Harrison,27,57,120,29,1,4,28,10,19,71,.287,.327,7
Matt Harvey,26,1,7,2,0,1,7,0,0,31,.108,.108,1
Adeiny Hechavarria,26,54,132,17,6,5,48,7,23,78,.281,.315,6
Austin Hedges,22,13,23,2,0,3,11,0,8,38,.168,.215,2
